"pair_id","pair_label","source_group","family","genus","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Pygoluciola",2,2,2,1,46,48.25,94.25,128.21,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Pyrocoelia",3,3,3,1,12.1,23.3,57.97,69.026,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Sclerotia",1,1,1,1,52.1,54.7,106.8,106.8,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Vesta",1,1,1,1,33.65,155.1,188.75,188.75,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae","Dorcus",2,2,2,1,443.74,120.275,564.015,567.235,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae","Hexarthrius",1,1,1,1,453.8,91.85,545.65,545.65,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae","Himaloaesalus",1,1,1,1,280.87,91.85,372.72,372.72,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae","Prosopocoilus",1,1,1,1,709.7,233.55,943.25,943.25,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lycidae","Lycostomus",1,1,1,1,77.9,57.15,135.05,135.05,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae","Atractocerus",3,1,3,1,163.35,109.5,272.85,275.69,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae","Lymexylon",1,1,1,1,22.72,206.35,229.07,229.07,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae","Melittomma",2,2,2,1,163.495,136.4,299.895,335.659,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Meloidae","Berberomeloe",1,1,1,1,293.6,100.4,394,394,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Meloidae","Epicauta",2,2,2,1,179.75,263.87,443.62,443.62,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Meloidae","Mylabris",1,1,1,1,160.05,357.67,517.72,517.72,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Meloidae","Pseudabris",1,1,1,1,284.89,318.67,603.56,603.56,0,1
